id,description
1,"PCMA Convening Leaders - A leader in the business events industry, PCMA and their annual conference provides insight into unique business strategies and learning experiences."
2,"CES (Consumer Electronics Show) - CES brings together all of the biggest players in the consumer tech space. One of the largest trade shows in the US, this is innovation at its finest."
3,"DLD20 (Digital Life Design)	- A conference held in multiple international cities, DLD connects business, thought leaders, and influencers for cross-over discussion."
4,"CPX 360 Bangkok - Cyber Security Conference	- CPX 360 - the industry’s premier cyber security summit and expo - brings together the world’s leading cyber security experts all in one venue for keynotes, conference sessions on the latest technologies, and hands-on labs covering the latest innovations for responding to the future threat landscape."
5,"Digital Geospatial Intelligence (DGI) -	DGI has military, civilian and industry geospatial intelligence leaders at this year's meeting in London to discuss new policy developments and the latest in technology."
6,"Cisco Live - Imagine the future with intuitive IT. IT that informs, connects, predicts and enables. Discover what's possible at Cisco Live."
7,"CPX 360 New Orleans - Cyber Security Conference - the industry’s premier cyber security summit and expo - brings together the world’s leading cyber security experts all in one venue for keynotes, conference sessions on the latest technologies, and hands-on labs covering the latest innovations for responding to the future threat landscape."
8,"KickStart Europe - The KickStart conference provides a venue for important thought leaders from the digital infrastructure industry and the ecosystem, to share trends, opinions and ideas​."
9,"AdExchanger's Industry Preview - 2 days focused on what to expect in the next 12 months in marketing technology."
10,"Digital Transformation In Sports Summit	- The Digital Transformation in Sports Summit, provides the platform for world-leading insights on how global and domestic sports, media and technology brands can optimize digital technology for improving fan engagement and experience while expanding revenue streams through digital innovation."
11,"Deep Learning Summit - Bridging the gap between the latest technological research advancements and real-world applications in business and society. Passes now allow access to the AI Assistant track and Applied AI track for free."
12,"East Meets West	- The startup event of the year in Hawaii – bringing together investors and entrepreneurs from Asia, Hawaii and North America."
13,"The Deep Learning Summit - Bridging the gap between the latest technological research advancements and real-world applications in business and society. Passes now allow access to the AI Assistant track and Applied AI track for free."
14,"dotSwift - This event invites the best and brightest hackers in the ever-expanding Swift community to explore new horizons."
15,"Future Festival: Seattle - Over the course of one action-packed day, you will learn about future trends, key consumer insights, and disruptive innovations that will cause major industry shifts."
16,"CPX 360 Cyber Security Conference -	The industry’s premier cyber security summit and expo - brings together the world’s leading cyber security experts all in one venue. By attending you will gain a deep understanding of the current challenges cyber security professionals face in the rapidly changing cyber threat landscape."
17,"Digiday Media Buying Summit - Digiday Media Buying Summit will explore what goes into building a smarter media buying operation. Through a series of smart, honest discussions, you'll learn how media buyers are approaching everything from spending more efficiently across programmatic, video, social and advanced TV to implementing new technologies like blockchain and AI."
18,"MicroStrategy World 2020 -	Three days, 162 sessions, innovative organizations from around the world will come together to share a vision for the future of enterprise analytics, mobility, and data-driven insight."
19,"Future Festival: Minneapolis - By combining research-backed keynote sessions with an immersive afterparty experience, learn about the future of trends and consumer insights in a whole new way."
20,"Pause Fest - Pause Fest is an independent, industry-driven movement with a mission to bring diverse intelligence together to fuel the next generation forward. "
21,"Microsoft Ignite - Explore the latest platform tools and cloud technologies and learn how to put your skills to work in new areas. Connect with our community to gain practical insights and best practices to help meet the expectations of the organizations, agencies, and citizens you serve."
22,"Future Festival: Orlando - A 1 Day Trends & Innovation Program that will train your team in the must-know consumer insights, trends and innovations surrounding your industry."
23,"Future Stores Miami - At Future Stores Miami, you’ll explore how leading retailers are overhauling their in-store experience and balancing high tech with high touch. You’ll walk away with actionable strategies to use store technology effectively, retool your front line associates and create the store experience of the future."
24,"IMPACT 2020	- IMPACT brings together the top talent in the world to present in-depth research and knowledge pertaining to digital transformation topics—from cloud, to security, IoT, AI, and so much more."
25,"Startup Grind Global Conference	- Global 2020 is the most important event for startups, tech leaders, and big brands at the forefront of innovation. 10,000 people from around the globe converge on Silicon Valley for 2-days of nonstop education, inspiration, and invaluable networking spanning 10 stages, 100+ sessions, and social events."
26,"STEP Conference	- With 4 conferences, more than 250 startups showcasing, and 6000+ attendees over two days, STEP is home to the best entrepreneurs, creatives, and digital enthusiasts."
27,"Developer Week - DeveloperWeek is the world’s largest developer expo and conference series with over 50 week-long events."
28,"Mobile Growth Summit 20 - MGS is a two-day, non-vendor conference in San Francisco which will help you to connect with and learn from mobile growth and brand marketing professionals specializing in the areas of user acquisition, monetization, retention/engagement, re-engagement as well as data science & analytics as it pertains to mobile, retail and mCommerce brands."
29,"2020 OurCrowd Global Investor Summit - In February, the startup world converges in Jerusalem. Entrepreneurs, venture capitalists, corporations, investors come to network, learn, do business, and discover the most historic city in the most exciting country in the world."
30,"E-commerce Berlin Expo - E-commerce Berlin Expo is the biggest pure-play e-commerce event in the (tech) capital city of Germany with over 7,000 visitors and 180 exhibitors."
31,"Startup Impact Summit -	Startup Impact Summit focuses on impact, created by regional and international startups, driven by successful cases of co-innovation projects between startups and corporates and by leveraging the strength of connecting ecosystems."
32,"Texas A&M University System Technology Summit - The Texas A&M University System Technology Summit includes three keynotes and 48 breakout sessions centered around learning, exchange ideas on common technology challenges, and having fun."
33,"Gartner Data & Analytics Summit - At Gartner Data & Analytics Summit 2020, the event content will focus on a future based on data you can trust, analytics you can rely on, and the insight you need to make game-changing business decisions."
34,"DevNexus - The goal of the Devnexus Conference is to connect developers from all over the world, provide affordable education, and promote Open Source values."
35,"SMX West - Search Marketing Expo is the leading conference for SEO & SEM professionals, helping marketers succeed with actionable tactics."
36,"O'Reilly: Software Architecture Conference - Fast-paced and practical, the O’Reilly Software Architecture Conference provides the design, development, and deployment training that veteran and aspiring software architects, engineers, and senior developers need."
37,"Gartner CIO Leadership Forum - In 2020, CIOs will see the use of digitalized products and services drive new forms of growth. New sources of revenue, business value and opportunities to engage with customers and citizens require you to lead your organization to the next level. Gain the inspiration, leadership skills and strategic ideas you need to succeed in this new era."
38,"Mobile World Congress - Mobile World Congress is the world’s largest gathering for the mobile industry, organized by the GSMA and held in the Mobile World Capital Barcelona."
39,"RSA Conference - One of the largest cybersecurity conferences in the world, attendees discover the latest technology and interact with top security leaders and pioneers."
40,"Digiday Publishing Summit - At the Digiday Publishing Summit, we'll discuss how publishers are keeping up with both internal and external pressures to find harmony -- from audience models, to advertising versus subscriptions, even balancing the strength of a brand."
41,"EmTech Asia 2020 - EmTech Asia is the showcase for the emerging technologies with the greatest potential to change our lives and an access point to the most innovative people and companies in the world. The event is an opportunity to glimpse the future and understand the technologies that will change the face of business and drive the new global economy."
42,"Visual Studio LIVE!: Las Vegas - The conference highlights how far technology has come in 25+ years, while looking toward the future with their unique brand of training on .NET, the Microsoft Platform and open source technologies in six great cities across the US."
43,"Gartner Application Architecture, Development & Integration Summit - This conference features in-depth research and advanced best practices in application strategies, business application management, mobile applications, modern application architecture, and emerging technologies including advances in Blockchain."
44,"Vueconf.us - Vue.js is an open-source JavaScript framework for building user interfaces. Vueconf.us is the second ever Vue.js conference in the United States and will be hosted by Evan You as well as other core committers to the project."
45,"ConveyUX - ConveyUX is the annual gathering of UXers in the Pacific Northwest. It is a showcase of local and international talent in the research and design of products and services."
46,"2020 OCP Global Summit - A 2-day event that features a stellar lineup of speakers, demonstrations, booths and networking opportunities."
47,"SummitX Jackson Hole - An epic convergence of business, tech, and leadership experience. This winter be a part of an amazing group of leaders in business and tech who come together for an epic experience around brand leadership & big mountain adventure."
48,"App Growth Summit LA 2020 -	Dozens of sessions, presentations, workshops, and expert-led discussion panels will provide Los Angeles with the second ever event of this kind. Perfectly placed between the start-up meet-ups and the large conventions, App Growth Summit LA 2020 will feature limited vendors and maximum connections and learning opportunities!"
49,"Code Beam SF - Created for developers, by developers, Code BEAM SF is dedicated to bringing the best minds in the Erlang and Elixir communities together to SHARE. LEARN. INSPIRE. over two days."
50,"SCALE 18x -	SCALE is North America's leading community run open source conference. Attend over 100 sessions and dozens of workshops on topics ranging from Linux, to config management, containers, devops and more."
